id,genre
1000001,Comedy
1000001,Fantasy
1000001,Adventure
1000002,Comedy
1000002,Thriller
1000002,Drama
1000003,Science Fiction
1000003,Action
1000003,Adventure
1000004,Drama
1000005,Science Fiction
1000005,Drama
1000005,Adventure
1000006,Thriller
1000006,Drama
1000006,Crime
1000007,Adventure
1000007,Animation
1000007,Science Fiction
1000007,Action
1000008,Mystery
1000008,Comedy
1000008,Crime
1000009,Drama
1000009,Comedy
1000009,Music
1000009,Romance
1000010,Crime
1000010,Thriller
1000011,Thriller
1000011,Mystery
1000011,Crime
1000012,Drama
1000012,History
1000013,Drama
1000013,Music
1000014,Horror
1000014,Mystery
1000014,Thriller
1000015,Mystery
1000015,Drama
1000015,Horror
1000016,Thriller
1000016,Crime
1000016,Action
1000016,Drama
1000017,Action
1000017,Adventure
1000017,Science Fiction
1000018,Science Fiction
1000018,Action
1000018,Animation
1000018,Adventure
1000019,Drama
1000019,Comedy
1000020,Comedy
1000020,Drama
1000021,Thriller
1000021,Comedy
1000021,Drama
1000022,Science Fiction
1000022,Action
1000022,Adventure
1000023,Comedy
1000023,Drama
1000023,Crime
1000024,Comedy
1000024,Drama
1000025,Crime
1000025,Thriller
1000025,Horror
1000025,Drama
1000026,Comedy
1000026,Thriller
1000026,Horror
1000027,Animation
1000027,Fantasy
1000027,Family
1000028,Drama
1000028,Thriller
1000028,Mystery
1000029,Science Fiction
1000029,Adventure
1000030,Horror
1000030,Thriller
1000031,Science Fiction
1000031,Romance
1000031,Drama
1000032,Drama
1000032,Comedy
1000032,Thriller
1000033,War
1000033,Drama
1000033,Thriller
1000034,Drama
1000034,Thriller
1000034,Horror
1000035,Comedy
1000035,Crime
1000035,Mystery
1000036,Action
1000036,Science Fiction
1000036,Adventure
1000037,Romance
1000037,Drama
1000038,Romance
1000038,Drama
1000038,Comedy
1000039,Science Fiction
1000039,Action
1000039,Adventure
1000040,Thriller
1000040,Crime
1000040,Mystery
1000041,Crime
1000041,Thriller
1000041,Horror
1000041,Drama
1000042,Western
1000042,Drama
1000043,Horror
1000043,Mystery
1000043,Science Fiction
1000044,Crime
1000044,Action
1000045,Thriller
1000045,Horror
1000045,Mystery
1000046,Drama
1000047,Crime
1000047,Drama
1000048,Science Fiction
1000048,Drama
1000048,Romance
1000049,Romance
1000049,Action
1000049,Comedy
1000050,Crime
1000050,Action
1000051,Mystery
1000051,Drama
1000051,Thriller
1000052,Romance
1000052,Drama
1000053,Science Fiction
1000053,Action
1000054,Fantasy
1000054,Animation
1000054,Family
1000054,Comedy
1000055,Crime
1000055,Drama
1000056,Adventure
1000056,Science Fiction
1000056,Action
1000057,War
1000057,Drama
1000057,Comedy
1000058,Adventure
1000058,Action
1000058,Science Fiction
1000059,Family
1000059,Adventure
1000059,Comedy
1000059,Animation
1000060,Drama
1000060,Science Fiction
1000061,Science Fiction
1000061,Mystery
1000061,Drama
1000062,Comedy
1000062,Romance
1000062,Drama
