id,name,date,tagline,description,minute,rating;;;
"1000001,Barbie,2023,She's everything. He's just Ken.,""Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."",114,3.91";;;
"1000002,Parasite,2019,Act like you own the place.,""All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."",133,4.57";;;
"1000003,Everything Everywhere All at Once,2022,The universe is so much bigger than you realize.,""An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes."",140,4.32";;;
"1000004,Fight Club,1999,Mischief. Mayhem. Soap.,""A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground """"fight clubs"""" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."",139,4.27";;;
1000005,Interstellar,2014,Mankind was born on Earth. It was never meant to die here.,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,4.32;;;
"1000006,Joker,2019,Put on a happy face.,""During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."",122,3.83";;;
"1000007,Spider-Man: Into the Spider-Verse,2018,More than one wears the mask.,""Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson """"Kingpin"""" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."",117,4.43";;;
"1000008,Knives Out,2019,""Hell, any of them could have done it."",""When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death."",131,4.0";;;
"1000009,La La Land,2016,Here's to the fools who dream.,""Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart."",129,4.05";;;
"1000010,Pulp Fiction,1994,Just because you are a character doesn't mean you have character.,""A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."",154,4.27";;;
"1000011,The Batman,2022,Unmask the truth.,""In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler."",177,3.99";;;
1000012,Oppenheimer,2023,The world forever changes.,The story of J. Robert Oppenheimer�??s role in the development of the atomic bomb during World War II.,181,4.26;;;
"1000013,Whiplash,2014,The road to greatness can take you to the edge.,""Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity."",107,4.43";;;
"1000014,Get Out,2017,""Just because you're invited, doesn't mean you're welcome."",""Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined."",104,4.16";;;
"1000015,Midsommar,2019,Let the festivities begin.,""Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities."",147,3.78";;;
"1000016,The Dark Knight,2008,Why So Serious?,""Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."",152,4.46";;;
"1000017,Inception,2010,Your mind is the scene of the crime.,""Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: """"inception"""", the implantation of another person's idea into a target's subconscious."",148,4.19";;;
"1000018,Spider-Man: Across the Spider-Verse,2023,It's how you wear the mask that matters,""After reuniting with Gwen Stacy, Brooklyn�??s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse�??s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."",140,4.47";;;
"1000019,The Grand Budapest Hotel,2014,A murder case of Madam D. With enormous wealth and the most outrageous events surrounding her sudden death!,""The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protǸgǸ. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."",100,4.25";;;
"1000020,The Truman Show,1998,On the air. Unaware.,""Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life."",103,4.21";;;
"1000021,Saltburn,2023,We're all about to lose our minds.,""Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten."",131,3.46";;;
"1000022,Spider-Man: No Way Home,2021,The Multiverse unleashed.,""Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."",148,3.85";;;
"1000023,The Wolf of Wall Street,2013,EARN. SPEND. PARTY.,""A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography."",180,4.0";;;
"1000024,Lady Bird,2017,Fly Away Home.,""A California high school student plans to escape from her family and small town by going to college in New York, much to the disapproval of wildly loving, deeply opinionated and strong-willed mother."",94,3.86";;;
"1000025,American Psycho,2000,I think my mask of sanity is about to slip.,""A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."",102,3.87";;;
"1000026,The Menu,2022,Wonderful surprises await you all.,""A couple travels to a coastal island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."",107,3.55";;;
"1000027,Spirited Away,2001,Fantasy can be captivating,""A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."",125,4.46";;;
"1000028,Gone Girl,2014,You don't know what you've got 'til it's...,""With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."",149,4.07";;;
