id,theme
1000001,Relationship comedy
1000001,Song and dance
1000001,Crude humor and satire
1000001,Catchy songs and hilarious musical comedy
1000001,Teen school antics and laughter
1000001,Funny jokes and crude humor
1000001,Laugh-out-loud relationship entanglements
1000001,Holiday joy and heartwarming Christmas
"1000002,""Gripping, intense violent crime"""
1000002,Enduring stories of family and marital drama
1000002,Emotional and touching family dramas
1000002,Intense violence and sexual transgression
1000002,Tragic sadness and captivating beauty
1000002,Moving relationship stories
1000002,Heartbreaking and moving family drama
1000003,Funny jokes and crude humor
1000003,Tragic sadness and captivating beauty
1000003,Action-packed space and alien sagas
1000003,Quirky and endearing relationships
1000003,Intense combat and martial arts
1000003,Epic heroes
1000003,Relationship comedy
1000004,Graphic violence and brutal revenge
1000004,Challenging or sexual themes & twists
"1000004,""Politics, propaganda, and political documentaries"""
1000004,Underdog fighting and boxing stories
1000004,Politics and human rights
1000004,Intense violence and sexual transgression
1000004,Thought-provoking sci-fi action and future technology
"1000005,""Monsters, aliens, sci-fi and the apocalypse"""
1000005,Imaginative space odysseys and alien encounters
1000005,Action-packed space and alien sagas
1000005,Humanity's odyssey: earth and beyond
1000005,Thought-provoking sci-fi action and future technology
1000005,Dangerous technology and the apocalypse
1000006,Violent crime and drugs
1000006,Intense political and terrorist thrillers
1000006,Powerful stories of heartbreak and suffering
1000006,Challenging or sexual themes & twists
1000006,Graphic violence and brutal revenge
1000006,Politics and human rights
"1000006,""Crime, drugs and gangsters"""
1000006,Intense violence and sexual transgression
1000007,Fairy-tale fantasy and enchanted magic
1000007,Superheroes in action-packed battles with villains
1000007,Emotional and captivating fantasy storytelling
1000007,Kids' animated fun and adventure
1000007,Epic heroes
1000007,Holiday joy and heartwarming Christmas
1000008,Thrillers and murder mysteries
1000008,Intriguing and suspenseful murder mysteries
1000008,Suspenseful crime thrillers
"1000008,""Spooky, scary comedy"""
1000008,Noir and dark crime dramas
"1000008,""Gags, jokes, and slapstick humor"""
1000009,Legendary musicians and stardom
1000009,Emotional life of renowned artists
1000009,Catchy songs and hilarious musical comedy
1000009,Dance rhythms and catchy tunes
1000009,Dazzling vocal performances and musicals
1000009,Song and dance
"1000010,""Crime, drugs and gangsters"""
1000010,Gritty crime and ruthless gangsters
"1000010,""Violent action, guns, and crime"""
1000010,Heists and thrilling action
"1000010,""Brutal, violent prison drama"""
1000010,Graphic violence and brutal revenge
1000011,Superheroes in action-packed battles with villains
1000011,Explosive and action-packed heroes vs. villains
1000011,Noir and dark crime dramas
1000011,Thrillers and murder mysteries
"1000011,""Crime, drugs and gangsters"""
1000011,High speed and special ops
1000011,Intriguing and suspenseful murder mysteries
1000011,Epic heroes
1000011,Suspenseful crime thrillers
1000012,Nazis and World War II
1000012,Dangerous technology and the apocalypse
1000012,Riveting political and presidential drama
1000012,Imaginative space odysseys and alien encounters
1000012,Epic history and literature
1000012,Politics and human rights
"1000012,""Politics, propaganda, and political documentaries"""
1000012,War and historical adventure
1000013,Inspiring sports underdog stories
1000013,Underdogs and coming of age
1000013,Humanity and the world around us
1000013,Student coming-of-age challenges
1000013,Emotional life of renowned artists
1000013,Dance rhythms and catchy tunes
1000013,Legendary musicians and stardom
"1000014,""Creepy, chilling, and terrifying horror"""
"1000014,""Spooky, scary comedy"""
"1000014,""Gory, gruesome, and slasher horror"""
"1000014,""Horror, the undead and monster classics"""
"1000014,""Terrifying, haunted, and supernatural horror"""
1000014,Intense violence and sexual transgression
1000014,Survival horror and zombie carnage
"1000015,""Gory, gruesome, and slasher horror"""
1000015,Extreme gory horror and cannibalism
1000015,Graphic violence and brutal revenge
"1000015,""Terrifying, haunted, and supernatural horror"""
1000015,Intense violence and sexual transgression
"1000015,""Horror, the undead and monster classics"""
1000015,Gothic and eerie haunting horror
"1000016,""Violent action, guns, and crime"""
1000016,Intense combat and martial arts
1000016,Superheroes in action-packed battles with villains
1000016,Thought-provoking sci-fi action and future technology
"1000016,""Crime, drugs and gangsters"""
1000016,Epic heroes
1000016,High speed and special ops
1000016,Explosive and action-packed heroes vs. villains
1000017,High speed and special ops
"1000017,""Monsters, aliens, sci-fi and the apocalypse"""
1000017,Thought-provoking sci-fi action and future technology
1000017,Imaginative space odysseys and alien encounters
1000017,Explosive and action-packed heroes vs. villains
1000017,Surreal and thought-provoking visions of life and death
1000017,Humanity's odyssey: earth and beyond
1000018,Adorable animals and heartwarming families
1000018,Fairy-tale fantasy and enchanted magic
1000018,Kids' animated fun and adventure
1000018,Superheroes in action-packed battles with villains
1000018,Epic heroes
1000018,Emotional and captivating fantasy storytelling
1000019,Crude humor and satire
1000019,Relationship comedy
1000019,Amusing jokes and witty satire
1000019,Catchy songs and hilarious musical comedy
1000019,Charming romances and delightful chemistry
"1000019,""Gags, jokes, and slapstick humor"""
"1000019,""Spooky, scary comedy"""
1000020,Laugh-out-loud relationship entanglements
1000020,Quirky and endearing relationships
1000020,Surreal and thought-provoking visions of life and death
1000020,Imaginative space odysseys and alien encounters
1000020,Relationship comedy
1000020,Humanity and the world around us
1000020,Humanity's odyssey: earth and beyond
1000020,Faith and religion
1000021,Twisted dark psychological thriller
1000021,Challenging or sexual themes & twists
1000021,Emotional LGBTQ relationships
1000021,Gothic and eerie haunting horror
"1000021,""Horror, the undead and monster classics"""
1000021,Intense violence and sexual transgression
1000021,Erotic relationships and desire
1000022,Epic heroes
1000022,Superheroes in action-packed battles with villains
"1000022,""Fantasy adventure, heroism, and swordplay"""
1000022,Intense combat and martial arts
1000022,Action comedy and silly heroics
1000022,Explosive and action-packed heroes vs. villains
1000023,Challenging or sexual themes & twists
1000023,Erotic relationships and desire
1000023,Funny jokes and crude humor
"1000023,""Crime, drugs and gangsters"""
"1000023,""Engaging, intense crime and casino drama"""
1000023,Crude humor and satire
1000023,Violent crime and drugs
1000024,Emotional and touching family dramas
1000024,Teen friendship and coming-of-age
1000024,Emotional teen coming-of-age stories
1000024,Student coming-of-age challenges
1000024,Teen school antics and laughter
1000024,Relationship comedy
1000024,Moving relationship stories
1000024,Underdogs and coming of age
1000025,Extreme gory horror and cannibalism
1000025,Graphic violence and brutal revenge
1000025,Gothic and eerie haunting horror
1000025,Challenging or sexual themes & twists
1000025,Thrillers and murder mysteries
1000025,Intense violence and sexual transgression
"1000025,""Horror, the undead and monster classics"""
"1000025,""Gory, gruesome, and slasher horror"""
"1000026,""Horror, the undead and monster classics"""
1000026,Intense violence and sexual transgression
1000026,Extreme gory horror and cannibalism
"1000026,""Gory, gruesome, and slasher horror"""
1000026,Survival horror and zombie carnage
1000026,Gothic and eerie haunting horror
1000026,Twisted dark psychological thriller
1000027,Kids' animated fun and adventure
1000027,Adorable animals and heartwarming families
1000027,Holiday joy and heartwarming Christmas
1000027,Emotional and captivating fantasy storytelling
1000027,Fairy-tale fantasy and enchanted magic
1000028,Thrillers and murder mysteries
1000028,Intense violence and sexual transgression
1000028,Noir and dark crime dramas
1000028,Suspenseful crime thrillers
1000028,Intriguing and suspenseful murder mysteries
1000028,Twisted dark psychological thriller
1000028,Enduring stories of family and marital drama
"1000029,""Fantasy adventure, heroism, and swordplay"""
1000029,Historical battles and epic heroism
1000029,Thought-provoking sci-fi action and future technology
1000029,Action-packed space and alien sagas
1000029,Epic history and literature
1000029,Epic heroes
"1000029,""Monsters, aliens, sci-fi and the apocalypse"""
1000029,Imaginative space odysseys and alien encounters
"1000030,""Gory, gruesome, and slasher horror"""
1000030,Chilling experiments and classic monster horror
"1000030,""Creepy, chilling, and terrifying horror"""
1000030,Gothic and eerie haunting horror
"1000030,""Horror, the undead and monster classics"""
1000030,Intense violence and sexual transgression
"1000030,""Terrifying, haunted, and supernatural horror"""
1000031,Relationship comedy
1000031,Moving relationship stories
1000031,Humanity and the world around us
1000031,Captivating relationships and charming romance
1000031,Erotic relationships and desire
1000031,Laugh-out-loud relationship entanglements
1000031,Charming romances and delightful chemistry
"1000031,""Dreamlike, quirky, and surreal storytelling"""
1000032,Teen friendship and coming-of-age
1000032,Action comedy and silly heroics
"1000032,""Violent action, guns, and crime"""
1000032,Intense combat and martial arts
"1000032,""Crime, drugs and gangsters"""
1000032,Humanity and the world around us
1000032,Westerns
1000032,Legendary musicians and stardom
1000033,War and historical adventure
1000033,Nazis and World War II
1000033,Bravery in War
1000033,Military combat and heroic soldiers
1000033,Exciting spy thrillers with tense intrigue
"1000033,""Politics, propaganda, and political documentaries"""
1000034,Graphic violence and brutal revenge
1000034,Twisted dark psychological thriller
1000034,Erotic relationships and desire
1000034,Gothic and eerie haunting horror
1000034,Intense violence and sexual transgression
"1000034,""Horror, the undead and monster classics"""
1000034,Humanity and the world around us
1000034,Song and dance
1000034,Dance rhythms and catchy tunes
"1000035,""Gags, jokes, and slapstick humor"""
1000035,Noir and dark crime dramas
"1000035,""Spooky, scary comedy"""
1000035,Intriguing and suspenseful murder mysteries
1000035,Thrillers and murder mysteries
1000035,Suspenseful crime thrillers
1000036,Imaginative space odysseys and alien encounters
1000036,Action-packed space and alien sagas
1000036,Intense combat and martial arts
1000036,Epic heroes
1000036,Superheroes in action-packed battles with villains
"1000036,""Monsters, aliens, sci-fi and the apocalypse"""
"1000036,""Fantasy adventure, heroism, and swordplay"""
1000037,Moving relationship stories
1000037,Relationship comedy
1000037,Touching and sentimental family stories
1000037,Passion and romance
1000037,Emotional life of renowned artists
1000037,Heartbreaking and moving family drama
1000037,Charming romances and delightful chemistry
"1000038,""Politics, propaganda, and political documentaries"""
1000038,Military combat and heroic soldiers
1000038,Inspiring sports underdog stories
1000038,Politics and human rights
1000038,Riveting political and presidential drama
1000038,Underdogs and coming of age
1000038,Teen friendship and coming-of-age
1000039,Intense combat and martial arts
1000039,Imaginative space odysseys and alien encounters
1000039,Action-packed space and alien sagas
1000039,Superheroes in action-packed battles with villains
1000039,Epic heroes
